FID,KUNSTWERKID,KUNSTWERKNAAM,KUNSTENAAR,EIGENDOM_VAN,LENGTEGRAAD,BREEDTEGRAAD,RD_X,RD_Y,LOKATIEBEELD,WEBSITEVERWIJZING,FOTO,CONTACT,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
CUL_KUNSTWERKEN.45,395,Speelplastiek,Hans Vos,particulier,5.81257,51.83118,184320.71113755132,427039.27325331426,Symfoniestraat 204,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=395,395.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (184320.711137551 427039.273253314)
CUL_KUNSTWERKEN.46,390,Sculptuur,Auke de Vries,particulier,"5,84571537","51,8432302",186596.9485250529,428393.80430603446,Tweede Oude Heselaan 384,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=390,390.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (186596.948525053 428393.804306034)
CUL_KUNSTWERKEN.47,205,Vliegende engelen,Auke Hettema,particulier,"5,85829024","51,8248078",187476.78480430244,426349.79308175703,Geert Grooteplein 22,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=205,205.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187476.784804302 426349.793081757)
CUL_KUNSTWERKEN.48,340,Andersom,Wilna Haffmans,gemeente Nijmegen,"5,84521377","51,8114739",186584.65195329342,424860.5856906279,Marie Curiestraat/Marconistraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=340,340.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (186584.651953293 424860.585690628)
CUL_KUNSTWERKEN.49,378,Moeder met kind en vogel,Wilna Haffmans,gemeente Nijmegen,"5,81394774","51,8300888",184416.39133380068,426918.43022354064,O.C. Huismanstraat (in winkelcentrum Notenhout),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=378,378.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (184416.391333801 426918.430223541)
CUL_KUNSTWERKEN.50,503,Sculptuur,Auke de Vries,gemeente Nijmegen,"5,86749486","51,8399642",188100.19814215024,428040.14982767607,Prins Bernhardstraat (Julianapark),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=503,503.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188100.19814215 428040.149827676)
CUL_KUNSTWERKEN.51,381,Omgevingsvormgeving,Johan Goedhart,gemeente Nijmegen,"5,866319","51,847501",188013.6330028436,428878.11039124866,Eiermarkt,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=381,381.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188013.633002844 428878.110391249)
CUL_KUNSTWERKEN.69,32,Vier jaargetijden,Mathurin Moreau,gemeente Nijmegen,"5,858481","51,843229",187476.64269184245,428399.30149237055,Nassausingel,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=32,32.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187476.642691842 428399.301492371)
CUL_KUNSTWERKEN.70,32,Vier jaargetijden,Matthijs van Roggen,gemeente Nijmegen,"5,858481","51,843229",187476.64269184245,428399.30149237055,Nassausingel,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=32,32.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187476.642691842 428399.301492371)
CUL_KUNSTWERKEN.71,37,Mgr. Ferdinand Hamer,Bart van Hove,gemeente Nijmegen,"5,86009881","51,8427094",187588.5039342681,428342.2187313467,Bisschop Hamerstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=37,37.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187588.503934268 428342.218731347)
CUL_KUNSTWERKEN.72,66,Petrus Canisius,Toon Dupuis,gemeente Nijmegen,"5,87235564","51,8460594",188430.65538741805,428720.4882704746,Hunnerpark,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=66,66.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188430.655387418 428720.488270475)
CUL_KUNSTWERKEN.73,76,Twee leeuwen,Jac Maris,gemeente Nijmegen,"5,868978","51,848397",188196.18891928392,428979.0054867903,Veerpoorttrappen,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=76,76.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188196.188919284 428979.00548679)
CUL_KUNSTWERKEN.74,126,Clown,Ad Berntsen,gemeente Nijmegen,5.862081,51.834924,187730.761477182,427476.95670407574,Balistraat/Javastraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=126,126.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187730.761477182 427476.956704076)
CUL_KUNSTWERKEN.75,119,Twee spaarvarkens,Charles Hammes,particulier,"5,86768048","51,8452700",188109.08656163665,428630.52335555863,Mariënburgsestraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=119,119.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188109.086561637 428630.523355559)
CUL_KUNSTWERKEN.76,133,Meisje met schooltas,Ed van Teeseling,gemeente Nijmegen,"5,86580803","51,8344429",187987.99485854403,427425.1186726639,Archipelstraat/Atjehstraat/Delistraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=133,133.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187987.994858544 427425.118672664)
CUL_KUNSTWERKEN.77,147,Dubbelkoppige adelaar,Han Rädecker,gemeente Nijmegen,"5,86875431","51,8485194",188180.68572759535,428992.52071910875,In depot,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=147,147.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188180.685727595 428992.520719109)
CUL_KUNSTWERKEN.78,149,Monument voor de burgerslachtoffers van de Tweede Wereldoorlog,Mari Andriessen,gemeente Nijmegen,"5,86205887","51,8480095",187719.72121727472,428932.75520708703,Sint Stevenskerkhof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=149,149.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187719.721217275 428932.755207087)
CUL_KUNSTWERKEN.79,188,Karel de Grote,Albert Termote,gemeente Nijmegen,5.859390,51.842162,187540.05434206684,428281.00073736114,Keizer Karelplein,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=188,188.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187540.054342067 428281.000737361)
CUL_KUNSTWERKEN.80,209,Mens in zijn wereld,Ed van Teeseling,particulier,"5,838903","51,815676",186146.55718287098,425325.3584920412,Hatertseweg 400,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=209,209.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (186146.557182871 425325.358492041)
CUL_KUNSTWERKEN.81,210,Pratende vrouwtjes,Gerard Bruning,gemeente Nijmegen,"5,84647767","51,8124970",186671.09080829076,424974.95927062916,Sint Jacobslaan,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=210,210.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (186671.090808291 424974.959270629)
CUL_KUNSTWERKEN.82,213,Pegasus,Ed van Teeseling,gemeente Nijmegen,"5,89624493","51,8319942",190087.74811992748,427166.9545036495,Berg en Dalseweg/Hengstdalseweg,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=213,213.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (190087.748119927 427166.95450365)
CUL_KUNSTWERKEN.83,561,Quack Monument (Marie Adolf fontein),Willem Bijlard,gemeente Nijmegen,"5,85791937","51,8439748",187437.40259403817,428482.02347218676,Nassausingel,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=561,561.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187437.402594038 428482.023472187)
CUL_KUNSTWERKEN.84,254,Nachtbruid,Marius van Beek,gemeente Nijmegen,5.836424,51.807755,185981.06905453905,424443.0604265679,Grootstalselaan hoek Malderburchtstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=254,254.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (185981.069054539 424443.060426568)
CUL_KUNSTWERKEN.85,507,Monument voor Steve Biko,Arnaud Beerends,gemeente Nijmegen,"5,80241350","51,8165778",183629.9096127851,425410.6715740168,Steve Bikoplein,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=507,507.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (183629.909612785 425410.671574017)
CUL_KUNSTWERKEN.52,381,Omgevingsvormgeving,Paul van der Hoek,gemeente Nijmegen,"5,866319","51,847501",188013.6330028436,428878.11039124866,Eiermarkt,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=381,381.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188013.633002844 428878.110391249)
CUL_KUNSTWERKEN.53,319,Sculptuur,Gerard Walraeven,gemeente Nijmegen,5.844793,51.843045,186533.51676210464,428372.7992570179,Tweede Oude Heselaan 386,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=319,319.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (186533.516762105 428372.799257018)
CUL_KUNSTWERKEN.54,234,Vogels,Albert Diekerhof,particulier,5.875208,51.825279,188642.72975827495,426409.9151804551,Van den Boenhoffstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=234,234.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188642.729758275 426409.915180455)
CUL_KUNSTWERKEN.55,148,Adelaar,Frans Coppelmans,particulier,5.86968,51.8311112,188257.3295511912,427056.22123479913,Professor Huijbersstraat 3,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=148,148.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188257.329551191 427056.221234799)
CUL_KUNSTWERKEN.56,429,Sculptuur,Sigurdur Gudmundsson,gemeente Nijmegen,"5,86793882","51,8393918",188131.21545296084,427976.6707405134,Prins Bernhardstraat (Julianapark),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=429,429.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188131.215452961 427976.670740513)
CUL_KUNSTWERKEN.57,179,Michaël met de draak,Henk de Groot,particulier,"5,86049753","51,8122354",187638.06350694614,424952.06125459087,Heemraadstraat 2,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=179,179.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187638.063506946 424952.061254591)
CUL_KUNSTWERKEN.58,269,Wandsculptuur,Krijn Giezen,particulier,5.868360,51.847479,188154.28321696227,428876.5924374464,Ridderstraat 27,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=269,269.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188154.283216962 428876.592437446)
CUL_KUNSTWERKEN.59,369,Wording,Cor Beugeling,gemeente Nijmegen,"5,86880822","51,8385649",188191.74159001553,427885.0721639105,Julianapark,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=369,369.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188191.741590016 427885.072163911)
CUL_KUNSTWERKEN.60,703,Twee zuilen,Peter van de Locht,gemeente Nijmegen,"5,872597","51,846688",188446.81945578015,428790.5333479152,Hunnerpark,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=703,703.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188446.81945578 428790.533347915)
CUL_KUNSTWERKEN.61,704,Gedenksteen Jan van Hoof,Jac Maris,gemeente Nijmegen,"5,870856","51,852519",188322.53582943018,429438.4525227167,"Waalbrug, pijler aan Lentse zijde",https://www.nijmegen.nl/kos/kunstwerk.aspx?id=704,704.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188322.53582943 429438.452522717)
CUL_KUNSTWERKEN.62,705,The Blue Borderline,Jan mulder,particulier,"5,868548","51,825837",188183.188338856,426468.93109665136,Heyendaalseweg,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=705,705.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188183.188338856 426468.931096651)
CUL_KUNSTWERKEN.63,372,Plastiek van de juiste en niet-juiste verhoudingen,Hans Koetsier,gemeente Nijmegen,"5,79186124","51,8347382",182891.05721899198,427426.9796502446,Broekstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=372,372.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (182891.057218992 427426.979650245)
CUL_KUNSTWERKEN.64,2,Ingangspoort van het stadhuis,Cornelis Sass,gemeente Nijmegen,"5,86575320","51,8470815",187974.95427700033,428831.18249633606,Burchtstraat 20,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=2,2.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187974.954277 428831.182496336)
CUL_KUNSTWERKEN.65,3,Reliëf,Onbekend,gemeente Nijmegen,"5,86058232","51,8485121",187617.6171049175,428988.00719752116,Begijnenstraat 29,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=3,3.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187617.617104918 428988.007197521)
CUL_KUNSTWERKEN.66,17,Vier gevelbeelden,Onbekend,particulier,"5,87884792","51,8313401",188889.09761764857,427085.92442929227,Postweg 80 (Villa Gelders Hof),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=17,17.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188889.097617649 427085.924429292)
CUL_KUNSTWERKEN.67,23,Spoorwegmonument Nijmegen-Kleve,Jan Jacob Weve,gemeente Nijmegen,"5,86887559","51,8471154",188190.0778767547,428836.3761017858,Hoogstraat bij Valkhof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=23,23.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188190.077876755 428836.376101786)
CUL_KUNSTWERKEN.68,23,Spoorwegmonument Nijmegen-Kleve,Christian Daniel Rauch,gemeente Nijmegen,"5,86887559","51,8471154",188190.0778767547,428836.3761017858,Hoogstraat bij Valkhof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=23,23.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188190.077876755 428836.376101786)
CUL_KUNSTWERKEN.1,134,De zeven dagen van de week,Hugo Brouwer,particulier,"5,872213","51,845204",188421.46185765305,428625.25637175486,Goffertweg 20,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=134,134.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188421.461857653 428625.256371755)
CUL_KUNSTWERKEN.2,134,De zeven dagen van de week,Lambert Simon,particulier,"5,872213","51,845204",188421.46185765305,428625.25637175486,Goffertweg 20,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=134,134.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188421.461857653 428625.256371755)
CUL_KUNSTWERKEN.3,142,Geveldecoratie,Jac Maris,particulier,"5,87370202","51,8412196",188527.03546686345,428182.66421700275,Dominicanenstraat 91,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=142,142.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188527.035466863 428182.664217003)
CUL_KUNSTWERKEN.4,143,Wapen (met spreuk 'Sine Cura'),Jac Maris,particulier,"5,85914622","51,8450589",187521.16123953665,428603.18214459054,Van Berchenstraat 31,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=143,143.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187521.161239537 428603.182144591)
CUL_KUNSTWERKEN.5,146,Spelende kinderen,Albert Meertens,particulier,"5,86863019","51,8310300",188185.02647717792,427046.7073336002,Professor Huijbersstraat 3,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=146,146.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188185.026477178 427046.7073336)
